clip,source_id,duration_s,snr_db,clipping_ratio,peak_dbfs,lufs,nonspeech_ratio,qc_pass,qc_reasons
en_nptel_lecture_demo_0001.wav,en_nptel_lecture_demo,14.5,26.6,9e-05,0.0,-18.9,0.027,True,
en_nptel_lecture_demo_0002.wav,en_nptel_lecture_demo,18.7,29.2,0.0002,0.0,-17.5,0.047,False,too_long(18.7s)
en_nptel_lecture_demo_0003.wav,en_nptel_lecture_demo,7.3,37.4,0.00068,0.0,-18.0,0.072,True,
en_nptel_lecture_demo_0004.wav,en_nptel_lecture_demo,13.7,38.3,0.00261,0.0,-14.5,0.021,True,
en_nptel_lecture_demo_0005.wav,en_nptel_lecture_demo,13.7,3.9,0.00117,0.0,-14.9,0.029,False,low_snr(3.9dB)
en_nptel_lecture_demo_0006.wav,en_nptel_lecture_demo,13.7,30.4,6e-05,0.0,-18.5,0.019,True,
en_nptel_lecture_demo_0007.wav,en_nptel_lecture_demo,13.8,13.8,0.00152,0.0,-15.8,0.022,False,low_snr(13.8dB)
en_nptel_lecture_demo_0008.wav,en_nptel_lecture_demo,5.9,36.5,0.0,-1.39,-18.8,0.022,True,
en_nptel_lecture_demo_0009.wav,en_nptel_lecture_demo,14.5,38.3,0.00283,0.0,-13.0,0.049,True,
en_nptel_lecture_demo_0010.wav,en_nptel_lecture_demo,4.1,35.1,0.0,-0.02,-20.4,0.08,True,
en_nptel_lecture_demo_0011.wav,en_nptel_lecture_demo,4.5,36.0,0.00043,0.0,-19.4,0.123,True,
en_nptel_lecture_demo_0012.wav,en_nptel_lecture_demo,20.5,43.5,0.00135,0.0,-14.2,0.01,False,too_long(20.5s)
en_nptel_lecture_demo_0013.wav,en_nptel_lecture_demo,4.2,47.0,0.00222,0.0,-15.9,0.016,True,
en_nptel_lecture_demo_0014.wav,en_nptel_lecture_demo,8.5,36.2,0.00251,0.0,-13.0,0.119,True,
en_nptel_lecture_demo_0015.wav,en_nptel_lecture_demo,16.1,30.0,0.00159,0.0,-15.3,0.067,True,
en_nptel_lecture_demo_0016.wav,en_nptel_lecture_demo,16.1,36.9,0.00299,0.0,-13.4,0.045,True,
en_nptel_lecture_demo_0017.wav,en_nptel_lecture_demo,8.2,40.3,0.00332,0.0,-13.7,0.016,True,
en_nptel_lecture_demo_0018.wav,en_nptel_lecture_demo,15.7,35.8,0.00293,0.0,-13.7,0.06,True,
en_nptel_lecture_demo_0019.wav,en_nptel_lecture_demo,15.7,13.5,0.00223,0.0,-14.1,0.043,False,low_snr(13.5dB)
